date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:53:19	7210/7210	---MCZ	200	added ('OK')	text/html	etag:%22e421a9b0d00d15e16d6470dfef941700-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/index.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/index.html	(from )
19:53:20	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1540606821-ssl	https://pirate-personal-vcard-resume-template.netlify.com/robots.txt		(from )
19:53:21	3698/3698	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Apr%202018%2015:59:21%20GMT	https://image.ibb.co/bJ8SZx/piricon.png	C:/NewWebsites/NewCVV/image.ibb.co/bJ8SZx/piricon.png	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:21	121152/121152	---MCZ	200	added ('OK')	text/css	etag:eefb9b926b8ed5816e633d731e5d3a602b53c8a4-df	https://d33wubrfki0l68.cloudfront.net/css/0b028e4d50e048a0a447b2586bee0322bbc83b8e/css/bootstrap.min.css	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/css/0b028e4d50e048a0a447b2586bee0322bbc83b8e/css/bootstrap.min.css	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:21	5235/5235	---M-Z	200	added ('OK')	text/css	etag:11e6c45e7a35840427e4c774212b2f4740dcaa24-df	https://d33wubrfki0l68.cloudfront.net/css/f7c33166984ffaa7725eb2f045126d33c71e651b/css/magnific-popup.css	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/css/f7c33166984ffaa7725eb2f045126d33c71e651b/css/magnific-popup.css	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:21	1174/1174	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4a0c-496%22	https://cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css	C:/NewWebsites/NewCVV/cdnjs.cloudflare.com/ajax/libs/owl-carousel/1.3.3/owl.carousel.min.css	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:22	55933/55933	---MCZ	200	added ('OK')	text/css	etag:%228e33c6600e65391669e73733c7e976f5-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/css/styles.css	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/css/styles.css	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:22	31000/31000	---MCZ	200	added ('OK')	text/css	etag:%22f39f5a728c417e85499ac1451e48241d-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/css/font-awesome.min.css	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/css/font-awesome.min.css	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:22	28101/28101	---M-Z	200	added ('OK')	text/css	etag:%22012c917be4e6cb79b8d18bfa5f0023aa-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/css/line-awesome.min.css	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/css/line-awesome.min.css	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:23	14756/14756	---MCZ	200	added ('OK')	application/javascript	etag:65759d3b5740c78b5b4ae2da324438c74e837e2d-df	https://d33wubrfki0l68.cloudfront.net/js/68d38c58bf4e1a5a865e4032c5d832ea1a0aac43/js/modernizr-2.6.2.min.js	C:/NewWebsites/NewCVV/d33wubrfki0l68.cloudfront.net/js/68d38c58bf4e1a5a865e4032c5d832ea1a0aac43/js/modernizr-2.6.2.min.js	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:23	47391/47391	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Apr%202018%2015:59:35%20GMT	https://image.ibb.co/nqK1ux/avatar.png	C:/NewWebsites/NewCVV/image.ibb.co/nqK1ux/avatar.png	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
19:53:23	30315/30315	---MCZ	200	added ('OK')	text/html	etag:%22b5eeacd2024877d593122a5569113fce-ssl-df%22	https://pirate-personal-vcard-resume-template.netlify.com/about.html	C:/NewWebsites/NewCVV/pirate-personal-vcard-resume-template.netlify.com/about.html	(from https://pirate-personal-vcard-resume-template.netlify.com/index.html)
